0	7.093227E-09
5	8.695274E-09
10	1.576117E-08
15	3.550856E-08
20	7.076207E-08
25	1.59659E-07
30	2.704027E-07
35	3.977411E-07
40	7.318192E-07
45	8.957855E-07
50	8.786774E-07
55	1.43512E-06
60	2.774563E-06
65	6.386457E-06
70	3.676529E-05
75	0.0001052404
80	0.0001410374
85	0.0001881243
90	0.0002683248
95	0.0003228388
100	0.0004477341
105	0.0007179303
110	0.0007989272
115	0.0008254789
120	0.0008400271
125	0.0008444514
130	0.0008361415
135	0.0008319547
140	0.000837066
145	0.000838714
150	0.0008426595
155	0.0008476393
160	0.0008552287
165	0.0008488832
170	0.0008497486
175	0.0008506324
180	0.0008482878
185	0.0008446643
190	0.0008465908
195	0.0008519532
200	0.0008607588

